Unnamed: 0,cluster,star,element,synth_teff,synth_teff_err,synth_logg,synth_logg_err,synth_MH,synth_MH_err,synth_vmic,synth_vmic_err,synth_vmac,synth_vmac_err,synth_vsini,synth_vsini_err,synth_R,synth_R_err,vel_atomic,vel_atomic_err,synth_x_over_h,synth_x_over_h_err,synth_absolute_abund,synth_absolute_abund_err,synth_nlines,snr
57,FSR_0278,G2181046618396001280,Fe 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.010970477360387143,0.0827,7.2299,0.1445,4.0,70.0
58,FSR_0278,G2181046618396001280,Mg 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.006501433043661388,0.0308,7.5158,0.0545,5.0,70.0
59,FSR_0278,G2181046618396001280,Mn 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.008168190965069322,0.0404,5.534,0.145,6.0,70.0
60,FSR_0278,G2181046618396001280,Mo 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.218925,0.127,1.9892,0.1269,1.0,70.0
61,FSR_0278,G2181046618396001280,Na 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.06316055433045144,0.033,6.581,0.0184,3.0,70.0
62,FSR_0278,G2181046618396001280,Nd 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.009938716127258468,0.0808,1.4436,0.0476,2.0,70.0
63,FSR_0278,G2181046618396001280,Ni 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.029820770159158044,0.0763,6.2392,0.0724,29.0,70.0
64,FSR_0278,G2181046618396001280,Pr 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.15615,0.1447,1.2231,0.1371,1.0,70.0
65,FSR_0278,G2181046618396001280,Sc 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.0015297113857020705,0.0727,3.2243,0.1523,5.0,70.0
66,FSR_0278,G2181046618396001280,Si 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.017480769185808875,0.1078,7.5729,0.0721,8.0,70.0
67,FSR_0278,G2181046618396001280,Ti 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.036010110229705114,0.0905,4.891,0.14,11.0,70.0
68,FSR_0278,G2181046618396001280,Ti 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.03139412009819713,0.1065,4.975,0.1324,10.0,70.0
69,FSR_0278,G2181046618396001280,V 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.03681063992744453,0.0549,3.8721,0.1301,16.0,70.0
70,FSR_0278,G2181046618396001280,Y 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.11129723256731586,0.0515,2.0493,0.0903,2.0,70.0
71,FSR_0278,G2181046618396001280,Zn 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.21888393596288014,0.1277,4.1004,0.1261,1.0,70.0
72,FSR_0278,G2181046618396001280,Zr 1,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,0.017674999999999986,0.1104,2.6907,0.1072,1.0,70.0
73,FSR_0278,G2181046618396001280,Zr 2,4717.86,15.35,2.69,0.04,-0.07,0.03,1.36,0.02,3.91,0.0,3.37,0.09,45000.0,0.0,-0.23,0.22,-0.28072500000000006,0.1806,2.3497,0.1795,1.0,70.0
74,FSR_0278,G2181046721475213568,Al 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.06154125177084023,0.0179,6.5339,0.0399,3.0,89.0
75,FSR_0278,G2181046721475213568,Ba 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.18573851762584384,0.0052,2.3071,0.0175,2.0,89.0
76,FSR_0278,G2181046721475213568,Ca 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.04002131187083226,0.0469,6.3773,0.0805,19.0,89.0
77,FSR_0278,G2181046721475213568,Ce 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.07455,0.1363,1.4903,0.1296,1.0,89.0
78,FSR_0278,G2181046721475213568,Co 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.006515527385803591,0.0481,4.9474,0.1418,17.0,89.0
79,FSR_0278,G2181046721475213568,Cr 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.03909426071945754,0.0793,5.5976,0.0571,10.0,89.0
80,FSR_0278,G2181046721475213568,Cu 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.12937306155776493,0.1156,3.9483,0.1129,1.0,89.0
81,FSR_0278,G2181046721475213568,Fe 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.001935815475673952,0.0494,7.3966,0.075,86.0,89.0
82,FSR_0278,G2181046721475213568,Fe 2,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.010270477360387137,0.0256,7.2194,0.0921,3.0,89.0
83,FSR_0278,G2181046721475213568,Mg 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.06730143304366139,0.0424,7.4361,0.0511,4.0,89.0
84,FSR_0278,G2181046721475213568,Mn 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,0.05043180903493068,0.0213,5.653,0.3035,5.0,89.0
85,FSR_0278,G2181046721475213568,Mo 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.10072500000000001,0.1041,2.1074,0.10400000000000001,1.0,89.0
86,FSR_0278,G2181046721475213568,Na 1,4702.86,17.2,2.63,0.03,-0.12,0.03,1.58,0.02,4.0,0.0,6.59,0.07,45000.0,0.0,-0.18,0.26,-0.12616055433045142,0.0294,6.562,0.0258,3.0,89.0
